CHR                            HASH SHA256
gj -- e5c6e9c632e92278f18b6ae2296a0235e1c1739311bb5063cc185e42687410e1
gk -- a39b32492df35396c54ba9401f570accb402fa90e1245b1e3f77c7bdb3d4e25d
gl -- 7ee0a6aea916330f53642770fe109e59c0d7d6139f0bc702609029b0124cce4c
gm -- a474219e5e9503c84d59500bb1bda3d9ade81e52d9fa1c234278770892a6dd74
gn -- 88069f4e45ea28c2a810dc1a617d263252e82d8f1dc46b7104853a22d663312f
go -- 4cd0e21a9a0795a14ec9aa5f0e7d1abff0492565770e43eafdf1e3e8afed1f33
gp -- ce552f91e9dc79133d2c327dcc006de9fe02e1411e44d1a012f5e9451c0a34c2
gq -- 7104cae00d98f78ce59f6286749e5c2ad9526f3be3fae530c7f61b50512b31a9
gr -- 183ee0870433a102edb987ee4924a9d4f39af24db56c0e5d01bb9e8e56263439
gs -- 7a5443b6636713baa6350c1cf3ec620b2771a8d411ea3180c5d46b502b9ab77d
gt -- e294affa6863e16fbecdff7cffbaf1237a8f2ee2ab2805bb3cacc7fc16d079b2
gu -- 6152d43caa491abea69c0001c468166366618867baf85f1f5fc9b26e00966a24
gv -- a303517c07f1d0005ae98586a452783a40203cdca8460356d26f22d79f2b9818
gw -- 9716536f62c81fe13e7c21c8807af96fd93f677e905e53817a0d2b72a95bcd2b
gx -- c1cbb8108bc8f123dd633dfa518481cb84dc00d12807b6be4915a80aab091636
gy -- a75ac051e25e3f0a0ff5ddb0ef752e77c737faf6e2e50680681ba07a870712a7
gz -- 2ed534af191bc3baaf1e09263808bf1bdd68db6241bd8f81e2bb014653dcbb36
----------------------------------------------------------------------
ha -- 8693873cd8f8a2d9c7c596477180f851e525f4eaf55a4f637b445cb442a5e340
hb -- 6e533337bd970a97d7ac74f6f8f891e70a702b45ac5d03469006d2835844e4d6
hc -- 850f9ef8d53cf476852c69f1bb5018af1fe3b8493a8d2aea7b1c9398b469ff53
hd -- 52ff0394dde3f5c22aa54118acd4955c4f5f5d88064dc5b16898cc0508c6f2d8
he -- 372f7e2fd2d01ce2a1d71dc072acbba4c6fd25a1087cd7f153f4ec0ce37e1ede
hf -- 64da817f607e940546c59f63e69dc0cf1e2e4b079de5b083cd6e1800f669b87c
hg -- 70176124abd98d92abaaeeb88c51ff0d7822982f53d35fd231198391078acabb
hh -- 72b289ec78e0a928c565480a435453e30acb92eddb3b78ff168b28737cf6a849
hi -- 8f434346648f6b96df89dda901c5176b10a6d83961dd3c1ac88b59b2dc327aa4
hj -- ec77807ae750d94151d4ff049868ba2719ff6d24fd87d96ffef72fd56d58cf82
hk -- 78032858b52002ee5de86799f5769bccb699bd668d7de566073fea3b308c82f6
hl -- 0369a36fe856043f6475e9da1a38e9b406df859bf6f23ca56b9e14722d7e4c1e
hm -- b82e2178ecf4d0c5859dc2e169d7fed8673f9f6eeb9f3591bed5f253b7742408
hn -- 7446783c207819c88f4358a528c02b9dbb7154a31cd89f4795a763ed8f829b5c
ho -- a821c62e8104f8519d639b4c0948aece641b143f6601fa145993bb2e2c7299d4
hp -- 93969d193161ae6fbd17b30055a9ed9789cb4bd80a7df0c6df15d3dd98fd7591
hq -- dfbfcd6f5474f6d4ab08bef315974f86e3ad6428bfc7b1e3ae3e4dd2b03b8b2b
hr -- 1b52f3a2e15148731314bf167145c54565ed2385a862b5eb7771eaf719e4f82e
hs -- 780f86745746934c7b4b0421ceb9d2be1d38468084a9b74ae13668c20099e828
ht -- 712dd58e22b0bca040fc9250038f84827f85593ab978e596ed75b3ba48bd1b23
hu -- ffd3d21b48469c85982c1f15a1d7ef2ba743aac7fde22f9f5cf0afc5b946268b
hv -- 8e0d990998c614ba3ad0158c952f47c69a7372f82c77b882b2d022bbe0895c39
hw -- 91660cd41bd4fe159351ab036b7ca3e998602a9fec70b362ca11e0177fe706e3
hx -- 50e29e6c39ab7a4f8f31930ae2db213071ec16112fd25c525caa821b2e6049c2
hy -- 02b9fee20b66a5d1fe467835495b12d65754db28c5433f04305211b37e567c23
hz -- 5a6509b77b9a987ab78ea504689414e4216cede7d0489b8b22296f458daf6c68
----------------------------------------------------------------------
ia -- 26138d8a757dd1dc09df6301bc4a47f0a1f7f785a725ae72574c6862127a2201
ib -- 765dbb8c38a58a5dc019d7b3133dffb251d643cb291328ad8e86d4f05655e68b
ic -- dae7f3a056377ab98e8eba07dd01c64c813dc392d02ecd4b7b3b728c6d1e21a8
id -- a56145270ce6b3bebd1dd012b73948677dd618d496488bc608a3cb43ce3547dd
ie -- 292c1980ba2805512acfef5d0cf8f43fba5c7b9b73a5a7afad1c37cfacad3c98
if -- 935f68319d4f227e02bfd54a0ddf85b8a242e42a4277aa5ef5eaab691710924e
ig -- 26a3482d50cfc162cc8950b9845bdf564d54a2e95eb5d597a68dfc7a88ddedc4
ih -- 8c6b0adba54cdc59dcede1e7327fbdeba3ce24d5e74eb84dfb72297e512e2dab
ii -- 5d7f49449ab22deac22d767b89549c554134c8e47de4d38e748049875c83503b
